Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,PF
2,Luis Aviles,29,13,56,51,7,14,3,0,0,5,3,0,5,11,0.275,0.339,0.333,0.673,17,1,0,0,0,0,VER,0.928407717
13,Diego Madero,32,40,85,80,20,22,3,0,0,9,1,1,3,10,0.275,0.298,0.313,0.61,25,0,0,1,1,0,SAL,0.996117193
1,Abraham Almonte#,35,89,366,288,49,79,18,0,15,49,5,0,74,61,0.274,0.425,0.493,0.918,142,5,2,1,1,1,TAB,0.885204422
11,Anthony Giansanti,35,63,236,201,32,55,12,3,9,39,7,3,32,44,0.274,0.381,0.498,0.879,100,2,3,0,0,1,JAL,1.010882902
30,Ricardo Valenzuela,33,37,135,117,19,32,9,0,2,8,0,0,9,18,0.274,0.341,0.402,0.743,47,1,3,6,0,0,OAX,0.985605712
8,Calvin Estrada,27,49,94,84,10,23,1,2,1,7,8,2,8,15,0.274,0.34,0.369,0.709,31,2,1,0,1,0,JAL,1.010882902
23,Manuel Orduno,28,9,12,11,1,3,1,0,0,0,0,0,1,2,0.273,0.333,0.364,0.697,4,2,0,0,0,0,QUI,0.887123301
15,J.J. Matijevic*,28,31,124,110,18,30,4,2,2,15,1,1,11,26,0.273,0.347,0.4,0.747,44,2,2,0,1,1,CHI,1.104916111
14,Rio Ruiz*,30,77,329,286,47,78,19,0,5,42,4,0,39,56,0.273,0.356,0.392,0.747,112,8,0,0,4,2,QRO,1.148678145
12,Carlos Martínez,29,39,150,139,14,38,10,0,1,15,0,0,6,20,0.273,0.302,0.367,0.669,51,9,1,1,3,0,CHI,1.104916111
4,Freddvil Chevez,24,7,23,22,3,6,1,0,0,1,0,0,1,10,0.273,0.304,0.318,0.623,7,0,0,0,0,0,DUR,1.050243683
1,Matt Adams*,35,62,243,224,36,61,13,0,12,53,0,0,13,64,0.272,0.309,0.491,0.8,110,4,1,0,5,0,TIJ,0.965961179
18,Juan Perez*,32,82,324,279,51,76,24,1,6,34,32,6,33,58,0.272,0.351,0.43,0.781,120,1,3,5,4,1,MVA,0.986601464
20,Melvin Mercedes#,32,41,123,103,16,28,3,1,0,9,7,2,16,15,0.272,0.38,0.32,0.701,33,1,2,2,0,0,OAX,0.985605712
25,Ademar Rifaela*,29,26,95,81,10,22,5,0,2,8,0,0,10,34,0.272,0.379,0.407,0.786,33,1,4,0,0,0,LEO,1.107484945
4,Bobby Bradley*,28,81,340,273,52,74,13,0,13,53,3,3,56,82,0.271,0.412,0.462,0.873,126,7,10,0,1,4,TIJ,0.965961179
2,Anthony Alford,29,39,150,133,28,36,8,0,8,25,2,0,16,52,0.271,0.353,0.511,0.865,68,3,1,0,0,0,CMP,0.989554266
10,Alcides Escobar,37,77,298,269,22,73,12,2,5,32,4,3,16,35,0.271,0.32,0.387,0.706,104,3,5,4,4,1,QUI,0.887123301
17,Dawel Lugo,29,88,344,329,41,89,18,0,7,32,1,0,8,59,0.271,0.288,0.389,0.677,128,14,1,4,2,0,TAB,0.885204422
27,Luke Voit,33,81,339,278,46,75,10,0,23,57,1,0,52,76,0.27,0.391,0.554,0.945,154,5,5,1,3,1,TAB,0.885204422
25,Sam Travis,30,11,43,37,5,10,3,0,0,2,1,0,3,8,0.27,0.357,0.351,0.709,13,1,2,1,0,0,TAB,0.885204422
18,Juan Carlos Negret,25,59,195,185,20,50,13,0,4,27,1,0,5,64,0.27,0.303,0.405,0.708,75,0,4,0,1,0,CHI,1.104916111
15,Logan Moore*,33,68,250,216,33,58,9,1,9,27,0,1,28,59,0.269,0.357,0.444,0.802,96,2,3,1,2,1,MVA,0.986601464
5,Freddy Galvis#,34,69,281,242,36,65,21,0,6,43,1,1,31,63,0.269,0.345,0.43,0.775,104,4,1,0,7,0,DSL,0.964253313
19,Alejandro Ortiz#,34,74,266,242,25,65,11,1,10,46,1,1,15,58,0.269,0.312,0.446,0.758,108,6,2,3,4,0,CMP,0.989554266
24,David Rodríguez,28,16,64,52,4,14,1,0,0,4,0,0,12,7,0.269,0.406,0.289,0.695,15,5,0,0,0,0,AGU,0.963026964
17,Carlos Mendivil*,30,9,28,26,4,7,2,0,0,0,0,0,1,6,0.269,0.296,0.346,0.643,9,0,0,1,0,0,AGU,0.963026964
10,Alfredo Lopez,34,46,207,183,28,49,9,2,0,11,14,5,18,21,0.268,0.333,0.339,0.672,62,6,2,0,4,0,DUR,1.050243683
22,Diego Rincones,25,12,43,41,0,11,1,0,0,6,0,0,1,6,0.268,0.302,0.293,0.595,12,1,1,0,0,0,CHI,1.104916111
3,Roberto Caro#,30,34,139,120,16,32,5,0,2,10,9,2,14,36,0.267,0.341,0.358,0.699,43,2,0,4,1,0,QUI,0.887123301
26,Drew Stankiewicz#,31,72,266,232,34,62,15,0,7,32,1,5,28,60,0.267,0.346,0.422,0.768,98,3,1,3,2,1,PUE,1.055090728
15,Edgar Robles*,27,40,100,79,16,21,7,0,0,11,2,5,13,16,0.266,0.394,0.354,0.748,28,2,5,1,2,0,ULA,0.968507678
13,Edson Garcia#,31,67,245,223,26,59,7,2,7,27,6,2,15,32,0.265,0.313,0.408,0.721,91,5,2,2,3,1,QUI,0.887123301
3,Angel Camacho,23,50,58,53,17,14,3,2,0,8,1,0,3,10,0.264,0.31,0.396,0.707,21,0,1,0,1,0,YUC,0.91908046
8,Ricardo Cespedes*,26,64,253,236,28,62,15,0,4,20,6,4,8,50,0.263,0.292,0.377,0.669,89,2,2,6,1,1,CMP,0.989554266
16,Juan Mora,24,14,23,19,2,5,0,0,0,2,1,1,0,6,0.263,0.333,0.263,0.597,5,1,2,2,0,0,MVA,0.986601464
7,Didi Gregorius*,34,75,318,271,47,71,17,1,7,43,6,2,37,37,0.262,0.363,0.41,0.772,111,5,7,1,2,2,ULA,0.968507678
24,Nellie Rodriguez,30,51,99,84,9,22,2,0,4,16,0,0,10,36,0.262,0.357,0.429,0.786,36,2,3,1,1,0,PUE,1.055090728
3,Michael Baca,31,28,25,23,5,6,2,0,0,5,0,0,1,8,0.261,0.32,0.348,0.668,8,2,1,0,0,0,TAB,0.885204422
26,Henry Rodríguez#,34,35,139,119,12,31,5,0,3,10,2,1,20,18,0.261,0.367,0.378,0.745,45,7,0,0,0,0,CMP,0.989554266
24,Rainel Rosario,35,40,176,157,19,41,6,0,4,19,1,1,17,33,0.261,0.335,0.376,0.711,59,6,1,0,1,1,SAL,0.996117193
2,Francisco Arcia*,34,77,274,245,24,64,14,0,2,28,1,1,17,48,0.261,0.327,0.343,0.67,84,8,7,5,0,0,DSL,0.964253313
7,Carlos Garzon,32,60,179,157,22,41,5,0,1,18,1,0,20,42,0.261,0.348,0.312,0.66,49,4,1,1,0,0,DUR,1.050243683
17,Hector Mora,21,46,94,92,11,24,7,0,0,5,1,1,1,27,0.261,0.269,0.337,0.606,31,2,0,1,0,0,CHI,1.104916111
9,Angel Erro,29,55,205,185,17,48,8,0,3,18,2,1,15,28,0.26,0.325,0.351,0.677,65,2,3,2,0,1,QUI,0.887123301
11,Jose Gaitan,26,70,270,235,31,61,16,1,4,28,9,3,18,51,0.26,0.316,0.387,0.703,91,7,4,7,6,1,VER,0.928407717
20,Maikel Serrano,31,61,218,200,32,52,9,1,2,15,5,1,11,43,0.26,0.318,0.345,0.663,69,3,6,1,0,1,JAL,1.010882902
1,Aaron Altherr,33,45,187,147,28,38,9,2,9,20,4,0,32,58,0.259,0.412,0.531,0.942,78,1,7,0,1,0,ULA,0.968507678
3,Tres Barrera,29,50,181,159,16,41,8,0,6,31,0,0,16,26,0.258,0.333,0.421,0.755,67,5,3,1,2,0,TIJ,0.965961179
18,Blake Rutherford*,27,24,85,74,17,19,3,1,7,13,0,0,6,15,0.257,0.337,0.608,0.945,45,2,3,2,0,0,TIJ,0.965961179
14,Rangel Ravelo,32,21,92,74,16,19,3,0,5,15,0,0,11,13,0.257,0.38,0.5,0.88,37,5,5,0,2,0,DSL,0.964253313
11,Junior Lake,34,88,366,315,58,81,16,1,15,40,15,5,45,77,0.257,0.353,0.457,0.811,144,8,3,1,2,3,TIJ,0.965961179
18,Efren Navarro*,38,14,47,43,4,11,3,0,1,3,0,0,4,4,0.256,0.319,0.395,0.714,17,3,0,0,0,0,CMP,0.989554266
14,Odúbel Herrera*,32,37,151,137,16,35,10,1,2,13,7,2,11,28,0.256,0.32,0.387,0.707,53,5,2,1,0,0,MVA,0.986601464
18,Alí Solís,36,38,146,133,21,34,8,0,8,25,0,0,10,47,0.256,0.31,0.496,0.807,66,4,1,1,1,0,QRO,1.148678145
